OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
85;2686;-33,956;19,0581;472,2;1,1;1;2021-02-23 0:00:00;2144;Terra;MODIS;100;6.03;316,7;1189,2;N;0;85;710,84277;710,84277;710,84277;42,160797;42,160797;42,160797;143,84404;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
86;2809;-33,9609;18,9417;303,2;1;1;2021-02-26 0:00:00;2352;Aqua;MODIS;8;6.03;292,4;4,8;N;0;86;454,6828;454,6828;454,6828;14,494281;14,494281;14,494281;309,84808;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
87;305;-33,9629;18,8985;318;4,1;1,9;2015-03-11 0:00:00;0804;Terra;MODIS;19;6.03;294,8;83,7;D;0;87;734,13562;734,13562;734,13562;39,048027;39,048027;39,048027;62,907978;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
88;1168;-34,0155;18,961;331,4;2,4;1,5;2017-01-10 0:00:00;1314;Aqua;MODIS;68;6.03;304,3;64,5;D;0;88;799,22998;799,22998;799,22998;31,471773;31,471773;31,471773;223,77086;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
89;967;-33,9434;18,9354;337,9;1,7;1,3;2016-11-20 0:00:00;0828;Terra;MODIS;87;6.03;309;66,1;D;0;89;743,84003;743,84003;743,84003;40,264084;40,264084;40,264084;31,228838;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
90;269;-33,9904;18,9618;374,3;1,1;1,1;2015-03-09 0:00:00;1233;Aqua;MODIS;100;6.03;311,2;143,9;D;0;90;333,38998;333,38998;333,38998;6,8753605;6,8753605;6,8753605;11,153393;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
91;330;-33,9851;18,8953;302,5;1,1;1;2015-03-11 0:00:00;2145;Terra;MODIS;26;6.03;292;5,2;N;0;91;629,58002;629,58002;629,58002;26,441849;26,441849;26,441849;276,14011;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
92;277;-33,9848;18,9783;321,3;2,5;1,5;2015-03-10 0:00:00;2102;Terra;MODIS;100;6.03;276,3;79,4;N;0;92;596,73999;596,73999;596,73999;26,472256;26,472256;26,472256;253,84756;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
93;274;-34,0038;18,9801;304,7;1,7;1,3;2015-03-09 0:00:00;2334;Aqua;MODIS;61;6.03;287,4;17,8;N;0;93;818,90997;818,90997;818,90997;31,811035;31,811035;31,811035;31,590475;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
94;2739;-33,9143;19,0031;307,6;4;1,9;2021-02-24 0:00:00;2048;Terra;MODIS;22;6.03;288,2;59,6;N;0;94;788,66998;788,66998;788,66998;47,087685;47,087685;47,087685;34,775791;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
95;2567;-33,9729;18,9225;334,1;1,6;1,2;2020-12-05 0:00:00;1220;Aqua;MODIS;81;6.03;299,7;54,2;D;0;95;298,88;298,88;298,88;17,698027;17,698027;17,698027;56,521317;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
96;1557;-33,9474;18,9468;318,7;1;1;2017-10-02 0:00:00;0853;Terra;MODIS;47;6.03;305,8;9,2;D;0;96;763;763;763;24,475779;24,475779;24,475779;346,2178;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
97;2715;-33,9675;19,0505;402,7;1;1;2021-02-24 0:00:00;0845;Terra;MODIS;100;6.03;308,7;272,1;D;0;97;741,84998;741,84998;741,84998;11,290581;11,290581;11,290581;115,38129;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
