OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
464;1272;-33,93592;19,01792;304,4;0,33;0,55;2019-03-27 0:00:00;2304;N20;VIIRS;n;2;285,29;9,84;N;0;464;833,82001;833,82001;833,82001;13,765239;13,765239;13,765239;52,944031;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
465;3336;-34,00297;18,97685;347,13;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;305,02;16,48;D;0;465;950,62476;950,62476;950,62476;21,895748;21,895748;21,895748;143,59827;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
466;3533;-34,01934;18,99177;351,22;0,42;0,61;2021-02-28 0:00:00;1145;N20;VIIRS;n;2;300,77;7,27;D;0;466;1197,3501;1197,3501;1197,3501;27,633047;27,633047;27,633047;18,501945;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
467;3514;-33,98649;19,00647;325,36;0,55;0,43;2021-02-27 0:00:00;2323;N20;VIIRS;n;2;287,44;2,91;N;0;467;1393,4399;1393,4399;1393,4399;36,530678;36,530678;36,530678;77,452736;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
468;2994;-33,96593;19,06761;313,5;0,39;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;288,49;9,15;N;0;468;346,51999;346,51999;346,51999;25,208649;25,208649;25,208649;64,501503;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
469;3301;-34,00866;18,98737;353,49;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;301,84;9,66;D;0;469;966,28882;966,28882;966,28882;34,830349;34,830349;34,830349;128,76328;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
470;2569;-33,99867;18,90265;347,8;0,55;0,51;2020-12-07 0:00:00;0019;N20;VIIRS;n;2;291,39;6,91;N;0;470;616,09003;616,09003;616,09003;30,97946;30,97946;30,97946;357,05603;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
471;3398;-33,98402;18,90831;338,78;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;292,55;4,2;N;0;471;1026,2001;1026,2001;1026,2001;18,600092;18,600092;18,600092;259,58301;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
472;3478;-34,01373;19,02972;347,28;0,45;0,47;2021-02-27 0:00:00;1204;N20;VIIRS;n;2;302,31;6,92;D;0;472;1382,23;1382,23;1382,23;28,472952;28,472952;28,472952;267,39703;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
473;3415;-33,96937;18,93479;308,72;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;291,64;1,94;N;0;473;242,31001;242,31001;242,31001;7,778543;7,778543;7,778543;209,82048;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
