OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
74;982;-33,96642;18,90342;323,16;0,54;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;290,85;25,89;N;0;74;683,03003;683,03003;683,03003;35,624626;35,624626;35,624626;51,488899;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
75;9422;-33,97108;18,91921;349,82;0,32;0,54;2021-02-26 0:00:00;1312;N;VIIRS;n;2;299,08;21,24;D;0;75;324,73999;324,73999;324,73999;18,391479;18,391479;18,391479;144,84935;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
76;9621;-34,01099;18,97883;307,05;0,41;0,61;2021-02-27 0:00:00;0032;N;VIIRS;n;2;286,14;2,69;N;0;76;1114,7899;1114,7899;1114,7899;15,801827;15,801827;15,801827;45,197674;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
77;9514;-34,00766;19,0348;367;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;h;2;301,39;9,14;D;0;77;1160,73;1160,73;1160,73;56,904194;56,904194;56,904194;15,595585;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
78;7361;-33,91916;19,02808;306,09;0,41;0,37;2019-03-27 0:00:00;2354;N;VIIRS;n;2;287,12;21,32;N;0;78;932,85004;932,85004;932,85004;15,861657;15,861657;15,861657;43,896793;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
79;9649;-33,96073;18,93481;304,54;0,41;0,6;2021-02-27 0:00:00;0032;N;VIIRS;n;2;291,59;0,87;N;0;79;321,42999;321,42999;321,42999;10,695951;10,695951;10,695951;207,29663;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
80;7378;-33,93011;19,00257;341,97;0,47;0,4;2019-03-28 0:00:00;1216;N;VIIRS;n;2;289,55;4,05;D;0;80;1415,8501;1415,8501;1415,8501;23,392822;23,392822;23,392822;117,97643;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
81;9654;-33,9665;18,93541;315,32;0,41;0,6;2021-02-27 0:00:00;0032;N;VIIRS;n;2;292,76;0,87;N;0;81;292,28;292,28;292,28;17,173639;17,173639;17,173639;243,7825;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
82;9604;-33,99603;18,91924;337,95;0,41;0,6;2021-02-27 0:00:00;0032;N;VIIRS;n;2;289,87;4,06;N;0;82;735,62;735,62;735,62;20,330666;20,330666;20,330666;275,86444;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
83;2999;-33,96678;18,96949;297,25;0,44;0,46;2016-10-30 0:00:00;2317;N;VIIRS;n;2;280,12;0,41;N;0;83;1281,01;1281,01;1281,01;41,947323;41,947323;41,947323;348,87479;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
84;932;-34,0092;18,97538;315,41;0,33;0,55;2015-03-10 0:00:00;0032;N;VIIRS;n;2;285,26;1,23;N;0;84;1104,9299;1104,9299;1104,9299;22,459648;22,459648;22,459648;38,26709;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
85;9547;-34,00669;19,01569;320,99;0,48;0,64;2021-02-26 0:00:00;2251;N;VIIRS;n;2;284,68;3,88;N;0;85;1261,6101;1261,6101;1261,6101;13,154551;13,154551;13,154551;133,63504;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
86;3151;-33,95232;19,00069;367;0,48;0,65;2016-11-21 0:00:00;1326;N;VIIRS;h;2;292,45;14,43;D;0;86;1085,3099;1085,3099;1085,3099;28,619192;28,619192;28,619192;323,72739;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
87;2994;-33,96576;18,98207;333,37;0,47;0,39;2016-10-29 0:00:00;1217;N;VIIRS;n;2;294,9;7,72;D;0;87;1100,01;1100,01;1100,01;33,70705;33,70705;33,70705;17,07621;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
88;9743;-33,95282;18,91845;336,06;0,44;0,46;2021-02-28 0:00:00;0013;N;VIIRS;n;2;292,87;3,74;N;0;88;315,67001;315,67001;315,67001;8,4352188;8,4352188;8,4352188;306,49304;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
89;5106;-33,9468;18,95054;336,2;0,51;0,66;2017-10-02 0:00:00;1139;N;VIIRS;n;2;304,77;7,03;D;0;89;617,79004;617,79004;617,79004;29,830185;29,830185;29,830185;39,801655;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
90;1070;-33,9813;18,96377;337,55;0,55;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;300,37;31,12;N;0;90;418,29999;418,29999;418,29999;8,9157009;8,9157009;8,9157009;206,034;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
91;9474;-33,991;18,9256;336,84;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;n;2;294,52;3,26;D;0;91;1058,1;1058,1;1058,1;31,25622;31,25622;31,25622;33,89016;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
92;9330;-34,00046;19,0268;300,36;0,76;0,77;2021-02-26 0:00:00;0051;N;VIIRS;n;2;281,09;2,69;N;0;92;996,01996;996,01996;996,01996;73,048866;73,048866;73,048866;268,57156;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
93;926;-33,98996;18,99901;301,51;0,33;0,55;2015-03-10 0:00:00;0032;N;VIIRS;n;2;288,23;0,7;N;0;93;1224,01;1224,01;1224,01;50,495747;50,495747;50,495747;217,34975;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
94;9553;-33,98194;18,90385;318,61;0,48;0,65;2021-02-26 0:00:00;2251;N;VIIRS;n;2;288,54;1,86;N;0;94;991,52002;991,52002;991,52002;17,158228;17,158228;17,158228;200,52574;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
95;10559;-34,00291;18,91137;321,3;0,71;0,75;2022-06-11 0:00:00;2239;N;VIIRS;n;2;262,7;9,94;N;0;95;1037,83;1037,83;1037,83;17,532509;17,532509;17,532509;40,43119;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
